design_label,design_size,no_of_instances,no_of_gates,no_of_inputs,no_of_outputs,num_macros,pin_density,congestion_risk_score
0,23754,11926,10896,63,91,19389,0.6599,0.76
1,15895,13990,1060,23,34,19361,0.3542,0.84
2,960,16992,14974,80,62,17291,0.2458,0.69
3,5490,46698,13532,7,92,15457,0.7425,0.46
4,29902,9584,19911,75,57,2770,0.3533,0.26
5,21675,5595,9419,29,8,3072,0.8223,0.43
6,12064,28581,3907,19,61,8918,0.2908,0.27
7,11384,11367,9914,87,58,15799,0.6315,0.62
8,22218,40266,10170,64,32,16812,0.6845,0.82
9,6365,6843,11420,87,20,11942,0.6604,0.52
10,16950,38039,2603,27,17,12771,0.4212,0.05
11,4526,48873,15539,15,76,4901,0.8129,0.94
12,22062,49576,4439,63,60,3039,0.7389,0.29
13,14523,26669,16985,89,57,3880,0.5571,0.91
14,28120,28652,11139,38,52,5453,0.6223,0.81
15,11463,45872,9281,11,29,6900,0.5965,0.41
16,27595,43830,3101,48,70,1989,0.8627,0.06
17,16123,29048,5372,95,34,7765,0.8275,0.95
18,8422,10875,11839,68,7,8477,0.3648,0.66
19,1785,3657,2605,27,27,10025,0.3839,0.25
20,869,3687,17523,62,33,4245,0.887,0.53
21,27067,16635,12817,24,45,2836,0.3656,0.64
22,23433,1054,508,31,98,14504,0.8674,0.23
23,2533,46662,15751,64,15,1427,0.6548,0.09
24,5411,23644,16116,12,25,2805,0.2351,0.27
25,5151,33555,4771,71,95,18517,0.435,0.05
26,6520,41369,12496,6,28,4459,0.5333,0.07
27,17668,15238,6354,26,99,12337,0.7832,0.16
28,21039,42562,13615,74,98,15949,0.43,0.16
29,19869,3227,10249,40,69,12888,0.4174,0.25
30,28793,23247,1970,28,5,6620,0.8442,0.94
31,6496,45628,13277,16,58,4662,0.2553,0.58
32,29519,11659,7744,85,76,16149,0.5861,0.42
33,27580,47664,6348,26,38,4154,0.553,0.56
34,8766,3495,6679,87,84,19983,0.2401,0.01
35,25758,25489,12769,77,95,10572,0.2614,0.89
36,19042,945,5196,80,72,15854,0.4674,0.53
37,24333,34032,17437,99,87,7707,0.2939,0.45
38,18531,45822,19517,85,33,5528,0.5347,0.94
39,2847,38772,10356,27,7,19075,0.6262,0.73
40,25651,13831,2639,78,15,5075,0.684,0.34
41,26482,33222,4360,67,12,7814,0.5825,0.94
42,289,35685,2291,34,66,2162,0.4658,0.85
43,19218,3932,13651,23,37,3550,0.2908,0.95
44,3105,32432,7761,30,12,6037,0.3732,0.1
45,21142,12567,988,94,29,7674,0.4936,0.96
46,1999,41125,4351,15,92,9251,0.8469,0.54
47,24218,13207,4020,24,30,18063,0.3418,0.67
48,1367,12558,4049,60,30,11361,0.4893,0.21
49,18012,28766,3458,49,21,14997,0.7126,0.14
50,11494,43581,13857,72,95,9091,0.6936,0.08
51,3656,2681,9012,51,33,6310,0.8759,0.42
52,3990,9682,16682,80,47,11109,0.3336,0.22
53,8938,8518,13435,93,77,11477,0.2116,0.08
54,27564,28191,6000,62,82,528,0.4256,0.96
55,14602,29213,2976,14,9,1360,0.3048,0.73
56,21877,18927,8025,26,54,12873,0.5839,0.52
57,10727,14519,7016,75,98,18577,0.8291,0.74
58,8892,11914,9183,28,60,463,0.6818,0.61
59,10655,33904,6637,70,67,3986,0.2951,0.18
60,10353,10124,5141,89,61,17828,0.2813,0.63
61,8533,43800,9035,65,96,19057,0.838,0.68
62,10333,7535,17111,11,49,18724,0.5413,0.24
63,11116,1648,1611,76,41,17072,0.8466,0.32
64,23997,5165,8694,42,76,11686,0.7154,0.38
65,2712,22980,14835,25,83,14424,0.8953,0.6
66,23525,3507,3706,12,96,16786,0.8099,0.13
67,26039,33507,16189,93,40,11390,0.4899,0.74
68,22719,33040,259,32,37,15367,0.7308,0.35
69,21970,5766,5033,96,10,11830,0.5299,0.69
70,23583,37222,7191,58,80,16573,0.3632,0.93
71,26154,25192,10168,35,75,8493,0.3687,0.87
72,15887,10209,16311,93,49,8910,0.4781,0.74
73,27232,35754,4016,45,96,19360,0.278,0.19
74,17259,35032,10119,41,11,7292,0.3244,0.73
75,12306,26605,8868,42,69,1102,0.5504,0.64
76,8326,36813,10968,55,28,15450,0.8677,0.77
77,14641,43269,9700,80,49,19997,0.6044,0.87
78,3252,7846,19258,41,65,1393,0.4859,0.31
79,26631,12075,1300,35,23,17003,0.3699,0.64
80,1685,40622,4808,66,36,16312,0.3371,0.28
81,4043,15696,4413,22,34,3966,0.6609,0.35
82,24039,38053,2213,94,69,9242,0.7938,0.52
83,19557,33961,9865,10,36,2973,0.4792,0.43
84,1121,3980,1903,13,61,10478,0.5855,0.6
85,11753,43554,17187,15,24,4595,0.6947,0.76
86,10905,43639,1918,99,89,14479,0.2408,0.61
87,13517,43548,16615,6,87,3975,0.4456,0.97
88,20327,2885,17947,33,98,19686,0.7108,0.74
89,8089,22549,15618,55,96,3442,0.6792,0.99
90,9792,14899,9144,73,34,19051,0.2373,0.74
91,13090,49148,19778,27,91,4405,0.3665,0.51
92,6973,39407,5288,11,95,18447,0.676,0.41
93,5775,48884,7139,60,63,18361,0.39,0.74
94,261,47598,18990,81,94,5382,0.7701,0.69
